repo,total_classes,cbo_mean,cbo_median,cbo_std,cbo_min,cbo_max,cbo_q1,cbo_q3,dit_mean,dit_median,dit_std,dit_min,dit_max,dit_q1,dit_q3,lcom_mean,lcom_median,lcom_std,lcom_min,lcom_max,lcom_q1,lcom_q3
krahets/hello-algo,215,1.874,2.0,1.513,0,11,1.0,2.5,1.0,1.0,0.0,1,1,1.0,1.0,4.707,1.0,10.458,0,66,0.0,3.0
GrowingGit/GitHub-Chinese-Top-Charts,1,0.0,0.0,,0,0,0.0,0.0,1.0,1.0,,1,1,1.0,1.0,0.0,0.0,,0,0,0.0,0.0
iluwatar/java-design-patterns,1894,3.363,3.0,2.598,0,22,2.0,5.0,1.197,1.0,0.526,1,6,1.0,1.0,1.841,0.0,6.473,0,153,0.0,1.0
macrozheng/mall,760,3.934,3.0,4.967,0,45,1.0,4.0,1.239,1.0,0.439,1,4,1.0,1.0,1110.804,13.0,8155.555,0,161554,0.0,55.0
doocs/advanced-java,1,0.0,0.0,,0,0,0.0,0.0,1.0,1.0,,1,1,1.0,1.0,0.0,0.0,,0,0,0.0,0.0
MisterBooo/LeetCodeAnimation,4,1.0,1.0,0.0,1,1,1.0,1.0,1.0,1.0,0.0,1,1,1.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0
Stirling-Tools/Stirling-PDF,585,8.209,5.0,8.042,0,59,3.0,11.0,1.232,1.0,0.559,1,6,1.0,1.0,16.725,0.0,73.079,0,825,0.0,3.0
kdn251/interviews,257,1.195,1.0,1.254,0,7,0.0,2.0,1.004,1.0,0.062,1,2,1.0,1.0,0.292,0.0,0.929,0,10,0.0,0.0
TheAlgorithms/Java,1505,2.062,2.0,1.457,0,14,1.0,3.0,1.044,1.0,0.279,1,7,1.0,1.0,7.966,1.0,27.335,0,780,0.0,6.0
google/guava,6432,4.04,2.0,5.648,0,82,0.0,6.0,1.801,1.0,2.254,1,66,1.0,2.0,48.068,0.0,448.304,0,18721,0.0,3.0
ReactiveX/RxJava,11867,2.525,1.0,5.254,0,237,0.0,3.0,1.319,1.0,0.886,1,26,1.0,1.0,47.463,0.0,1802.905,0,143916,0.0,0.0
skylot/jadx,2883,4.458,3.0,6.706,0,95,1.0,5.0,1.667,1.0,1.261,1,21,1.0,2.0,32.218,0.0,328.918,0,10480,0.0,3.0
termux/termux-app,321,5.913,4.0,7.187,0,61,1.0,8.0,1.43,1.0,0.704,1,6,1.0,2.0,60.826,0.0,236.371,0,2045,0.0,13.0
PhilJay/MPAndroidChart,306,8.843,5.0,10.007,0,45,1.0,14.0,1.98,1.0,1.231,1,6,1.0,3.0,91.033,1.0,517.797,0,6254,0.0,15.0
halo-dev/halo,1591,7.53,5.0,7.341,0,57,2.0,11.0,1.261,1.0,0.614,1,8,1.0,1.0,6.815,0.0,28.274,0,561,0.0,3.0
geekxh/hello-algorithm,3,1.0,1.0,1.0,0,2,0.5,1.5,1.0,1.0,0.0,1,1,1.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0
airbnb/lottie-android,293,6.898,5.0,8.313,0,67,2.0,9.0,1.287,1.0,0.646,1,6,1.0,1.0,33.413,0.0,283.155,0,4618,0.0,6.0
TeamNewPipe/NewPipe,586,8.295,5.0,10.321,0,91,2.0,10.0,1.645,1.0,1.096,1,11,1.0,2.0,43.297,1.0,237.06,0,4194,0.0,11.0
doocs/leetcode,165,2.612,2.0,1.952,0,10,1.0,4.0,1.006,1.0,0.078,1,2,1.0,1.0,0.376,0.0,0.886,0,7,0.0,0.0
netty/netty,7915,4.422,3.0,5.774,0,78,1.0,5.0,1.51,1.0,1.18,1,26,1.0,2.0,67.028,0.0,1137.179,0,88833,0.0,3.0
xkcoding/spring-boot-demo,482,5.052,4.0,4.002,0,19,2.0,7.0,1.131,1.0,0.488,1,5,1.0,1.0,2.322,0.0,9.815,0,106,0.0,0.0
Blankj/AndroidUtilCode,670,4.169,2.0,5.562,0,63,1.0,5.75,1.364,1.0,0.836,1,10,1.0,1.0,144.954,0.0,960.505,0,18418,0.0,8.0
alibaba/easyexcel,560,6.632,5.0,6.093,0,50,3.0,8.0,1.375,1.0,0.834,1,8,1.0,1.0,32.025,1.0,355.668,0,8040,0.0,6.0
zxing/zxing,595,4.985,4.0,4.81,0,52,2.0,7.0,1.662,2.0,0.773,1,6,1.0,2.0,22.968,1.0,130.859,0,2701,0.0,8.0
SeleniumHQ/selenium,1869,5.961,4.0,7.242,0,81,1.0,8.0,1.382,1.0,1.066,1,28,1.0,2.0,32.739,1.0,290.595,0,10731,0.0,6.0
alibaba/nacos,4014,5.709,3.0,6.741,0,62,1.0,8.0,1.289,1.0,0.7,1,14,1.0,1.0,23.129,0.0,312.611,0,18145,0.0,6.0
apache/kafka,8477,7.797,4.0,13.443,0,446,2.0,9.0,1.436,1.0,1.099,1,17,1.0,1.0,63.094,0.0,1084.565,0,70125,0.0,6.0
ityouknow/spring-boot-examples,307,4.726,4.0,3.104,0,19,2.0,7.0,1.026,1.0,0.16,1,2,1.0,1.0,5.033,0.0,16.349,0,135,0.0,1.0
chinabugotech/hutool,2656,3.526,3.0,3.844,0,49,1.0,4.0,1.283,1.0,0.755,1,11,1.0,1.0,102.204,0.0,959.974,0,26841,0.0,10.0
apolloconfig/apollo,737,7.267,6.0,6.792,0,35,2.0,11.0,1.265,1.0,0.705,1,14,1.0,1.0,14.985,0.0,56.812,0,901,0.0,6.0
alibaba/canal,1049,5.814,4.0,6.452,0,56,1.0,8.0,1.38,1.0,0.823,1,13,1.0,2.0,77.357,1.0,467.413,0,13643,0.0,15.0
xuxueli/xxl-job,171,4.778,3.0,5.258,0,26,1.0,6.0,1.129,1.0,0.385,1,4,1.0,1.0,20.427,0.0,97.42,0,1080,0.0,4.0
conductor-oss/conductor,837,7.787,6.0,8.452,0,104,2.0,11.0,1.271,1.0,0.546,1,4,1.0,1.0,91.492,0.0,620.146,0,14533,0.0,6.0
wuyouzhuguli/SpringAll,378,5.243,4.0,4.277,0,22,2.0,8.0,1.111,1.0,0.369,1,4,1.0,1.0,3.749,0.0,11.858,0,135,0.0,3.0
alibaba/druid,5839,5.09,4.0,12.954,0,429,2.0,5.0,1.942,2.0,0.835,1,32,2.0,2.0,230.302,0.0,5179.159,0,314028,0.0,3.0
lenve/vhr,94,4.436,2.0,5.843,0,31,1.0,6.0,1.021,1.0,0.145,1,2,1.0,1.0,48.33,6.0,225.795,0,2142,0.0,21.0
DrKLO/Telegram,13383,6.837,4.0,13.411,0,490,2.0,7.0,1.659,1.0,16.627,1,1916,1.0,2.0,65.094,0.0,1195.562,0,93932,0.0,3.0
crossoverJie/JCSprout,162,1.963,1.0,1.858,0,9,1.0,3.0,1.093,1.0,0.366,1,4,1.0,1.0,1.765,0.0,6.358,0,45,0.0,0.0
qiurunze123/miaosha,286,4.147,3.0,4.54,0,26,1.0,5.75,1.126,1.0,0.391,1,4,1.0,1.0,14.301,0.0,85.544,0,1134,0.0,3.0
ashishps1/awesome-system-design-resources,11,0.818,1.0,0.603,0,2,0.5,1.0,1.0,1.0,0.0,1,1,1.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0
alibaba/fastjson,6327,1.852,1.0,2.779,0,71,0.0,3.0,1.504,1.0,0.713,1,15,1.0,2.0,126.121,0.0,3281.966,0,179100,0.0,1.0
JakeWharton/butterknife,272,3.96,2.0,6.414,0,69,1.0,5.0,1.235,1.0,0.711,1,6,1.0,1.0,10.482,0.0,75.806,0,958,0.0,0.0
scwang90/SmartRefreshLayout,341,6.651,3.0,7.591,0,56,1.0,10.0,1.507,1.0,0.849,1,5,1.0,2.0,30.32,0.0,295.047,0,4611,0.0,1.0
proxyee-down-org/proxyee-down,60,5.517,4.0,6.223,0,34,1.0,6.25,1.467,1.0,0.929,1,5,1.0,2.0,19.517,2.0,49.729,0,315,0.0,10.0
greenrobot/EventBus,183,3.426,3.0,3.066,0,20,1.0,4.0,1.836,1.0,1.424,1,12,1.0,2.0,9.055,0.0,35.082,0,357,0.0,3.0
bazelbuild/bazel,10653,7.538,5.0,10.361,0,336,2.0,9.0,1.622,1.0,1.335,1,46,1.0,2.0,67.987,1.0,953.937,0,58996,0.0,6.0
yuliskov/SmartTube,3210,6.653,4.0,8.045,0,79,2.0,8.0,1.554,1.0,1.472,1,49,1.0,2.0,65.958,1.0,452.967,0,12128,0.0,10.0
jenkinsci/jenkins,4107,6.24,4.0,8.49,0,234,2.0,8.0,1.897,2.0,1.769,1,59,1.0,2.0,46.242,0.0,915.728,0,52437,0.0,4.0
Netflix/Hystrix,2005,3.341,2.0,5.188,0,79,1.0,4.0,1.57,1.0,3.592,1,114,1.0,1.0,20.254,0.0,385.241,0,14194,0.0,1.0
google/gson,1076,3.024,2.0,4.464,0,44,0.0,4.0,1.282,1.0,1.024,1,24,1.0,1.0,20.599,0.0,378.735,0,12246,0.0,1.0
redisson/redisson,2853,5.957,3.0,10.733,0,204,1.0,7.0,1.342,1.0,0.762,1,7,1.0,1.0,180.413,0.0,1619.024,0,48510,0.0,10.0
doocs/source-code-hunter,1,0.0,0.0,,0,0,0.0,0.0,1.0,1.0,,1,1,1.0,1.0,0.0,0.0,,0,0,0.0,0.0
apache/rocketmq,2860,6.882,3.5,10.484,0,197,1.0,9.0,1.331,1.0,0.753,1,11,1.0,1.0,122.056,1.0,2334.95,0,87982,0.0,8.0
dataease/dataease,1099,4.947,3.0,7.348,0,86,1.0,5.0,1.207,1.0,0.682,1,6,1.0,1.0,27.771,0.0,184.248,0,3652,0.0,1.0
google/ExoPlayer,3281,7.588,5.0,8.948,0,127,2.0,10.0,1.295,1.0,1.016,1,31,1.0,1.0,52.22,0.0,493.139,0,16110,0.0,6.0
elunez/eladmin,282,8.014,5.0,7.683,0,37,3.0,12.0,1.163,1.0,0.448,1,4,1.0,1.0,6.202,0.0,19.224,0,177,0.0,1.0
